version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,PhanDuyThanh,baseline,v0+p27467914bc4d+td4848549884e,p27467914bc4d,d4848549884e,Đo hành vi gốc khi chưa sửa artifact để lấy baseline so sánh,Lỗi nằm ở prompt và tool declaration thiếu quy tắc chứ không ở hạ tầng,case_accuracy,,0.7,runs/v0_B_base_openai_20260915T185909523910.json
v1,PhanDuyThanh,system_prompt.md,v1+p9723bddf4c58+td4848549884e,p9723bddf4c58,d4848549884e,"Thêm mục Required information (thiếu/mơ hồ thì clarify) và Write actions (xác nhận trước khi tạo ticket); thêm quy tắc giữ nguyên identifier và ưu tiên ý mới nhất",Prompt gốc không có quy tắc nào về thiếu thông tin và write action nên agent bịa giá trị và tạo ticket ngay lượt đầu,case_accuracy,0.7,0.8,runs/v1_B_base_openai_20260915T190034665248.json
v1-repeat,PhanDuyThanh,không đổi artifact,v1+p9723bddf4c58+td4848549884e,p9723bddf4c58,d4848549884e,Chạy lặp cùng bộ case với cùng artifact để đo độ biến thiên của model,Cùng artifact cùng case có thể cho kết quả khác nhau nên cần run lặp trước khi kết luận,case_accuracy,0.8,0.7667,runs/v1_B_base_openai_20260915T190115930776.json
v2,PhanDuyThanh,tools.yaml,v2+p9723bddf4c58+t643fef3841e8,p9723bddf4c58,643fef3841e8,"Viết lại description của clarify/search_kb/check_service_status/inspect_device/lookup_user/format_incident_report/create_ticket; đưa response_type/category/environment/check/template vào required",Phần lớn lỗi còn lại do declaration quá ngắn và có default nên model lược bỏ tham số; làm tường minh ở declaration sẽ tăng argument accuracy,case_accuracy,0.8,0.9,runs/v2_B_base_openai_20260915T190236711432.json
v3-attempt1,PhanDuyThanh,system_prompt.md,v3+pe8d16b135e7c+t643fef3841e8,e8d16b135e7c,643fef3841e8,Siết trong prompt: chọn giá trị hẹp nhất theo đối tượng và cấm tự suy diễn giá trị enum,Quy tắc chung trong prompt là đủ để sửa nốt các case sai category/enum,case_accuracy,0.9,0.8667,runs/v3_attempt1_B_base_openai_20260915T190441128651.json
v3,PhanDuyThanh,tools.yaml,v3+pe8d16b135e7c+t97dd06939ab3,e8d16b135e7c,97dd06939ab3,"Giữ thay đổi prompt của v3 và chuyển quy tắc vào description tại điểm gọi tool: ánh xạ chủ đề sang category; cấm tự chọn environment ngoài enum; quy tắc chọn check theo chủ đề; bắt buộc yes_no khi xác nhận write action",Quy tắc nằm xa điểm ra quyết định thì bị bỏ qua; đặt trong description của chính tool sẽ được tuân thủ tốt hơn,case_accuracy,0.9,0.9667,runs/v3_B_base_openai_20260915T190612502560.json
(.venv) PS D:\Code\AITHUCCHIEN\Labs\Lab4\K4-L3B-Day04-PhanDuyThanh-2A202602930-Prompt-Engineering-Tool-Calling-Labs\starter_v0> python scripts/preflight_provider.py --provider openai
OK provider=openai model=gpt-4o-mini
tool=check_service_status
args={'service': 'vpn', 'environment': 'production'}
(.venv) PS D:\Code\AITHUCCHIEN\Labs\Lab4\K4-L3B-Day04-PhanDuyThanh-2A202602930-Prompt-Engineering-Tool-Calling-Labs\starter_v0> 
